movie,name,review,review_date,published,review_link,top_critic,genre,first_genre,second_genre,year
1917,Alex Bentley,1917 can safely be added to the list of movies that have expanded and enhanced our understanding of how truly brutal war can be.,2021-02-17,CultureMap,https://dallas.culturemap.com/news/entertainment/12-24-19-1917-movie-review/#slide=0,FALSE,"history,drama,war",history,"drama,war",2020
1917,Nicole Ackman,"1917, under the talented hands of Sam Mendes, is one of the best war movies ever made and one of the best of 2019.",2021-02-02,In Their Own League,https://intheirownleague.com/2020/01/11/review-1917-2019/,FALSE,"history,drama,war",history,"drama,war",2020
1917,Richard Crouse,This is a contemplative story of a mission and the men who sacrifice their own safety for the greater good. It highlights the ever-present danger of attack but it is the character's emotional journey that makes for a compelling story.,2021-01-30,Richard Crouse,https://www.ctvnews.ca/entertainment/movie-reviews-little-women-reshapes-the-coming-of-age-story-in-new-ways-1.4741351,FALSE,"history,drama,war",history,"drama,war",2020
1917,Jeffrey Zhang,"A measured compromise of its emotional quotient to create a visual feast, [1917] is undoubtedly impressive while remaining remote.",2021-01-29,Strange Harbors,https://www.strangeharbors.com/blog/2020/1/24/film-review-1917,FALSE,"history,drama,war",history,"drama,war",2020
1917,Candice McMillan,"Sam Mende's quiet WWI epic 1917 is a cinematic masterpiece, a near perfect war film that appeals to even those of us who don't particularly enjoy war movies ... To put it even simpler, this film is bananas.",2021-01-28,KOMO News (Seattle),https://komonews.com/seattle-refined/review-1917-is-a-cinematic-masterpiece-near-perfect-war-film,FALSE,"history,drama,war",history,"drama,war",2020
1917,Fletcher Powell,"... [C]heck[s] the box that indicates war is, indeed, hell. But this is not the same as actually taking that truth seriously.",2021-01-28,KMUW - Wichita Public Radio,https://www.kmuw.org/post/movie-review-1917-turns-war-distasteful-entertainment,FALSE,"history,drama,war",history,"drama,war",2020
1917,Mike Massie,"Despite the intermittent cinematographic interruptions to the nerve-wracking immersion in WWI chaos, the movie remains unwaveringly tense.",2020-12-07,Gone With The Twins,http://gonewiththetwins.com/new/1917-2019/,FALSE,"history,drama,war",history,"drama,war",2020
1917,John Serba,Its visual artistry places it among the best historical war films of the past decade or two.,2020-11-30,Decider,https://decider.com/2020/11/26/1917-stream-it-or-skip-it/,FALSE,"history,drama,war",history,"drama,war",2020
1917,Charles Koplinski,"The film's final hour loses steam and is beset by more than a few narrative lapses it ultimately can't overcome. Still, this is a worthwhile epic best seen on the big screen.",2020-11-27,Reel Talk with Chuck and Pam,http://reeltalkwithchuckandpam.com/1917-chuck-recommends-pam-recommends/,FALSE,"history,drama,war",history,"drama,war",2020
1917,Matthew St. Clair,"Although it hardly goes beyond being technically bold, it still is quite admirable in its ambition.",2020-09-23,Cinema Sentries,http://cinemasentries.com/review/1917-movie-review-a-visually-bold-look-at-the-heart-of-war/,FALSE,"history,drama,war",history,"drama,war",2020
1917,Richard Propes,War is hell and Sam Mendes's hell is quiet and real and intimate and suspenseful and you feel it in your bones long after you leave the theatre.,2020-09-17,TheIndependentCritic.com,https://theindependentcritic.com/1917,FALSE,"history,drama,war",history,"drama,war",2020
1917,A.S. Hamrah,"At this current level of Hollywood production, expressionistic British militarism is all the same to me and it's worn me out...",2020-09-17,The Baffler,https://thebaffler.com/latest/money-is-an-iron-hamrah,FALSE,"history,drama,war",history,"drama,war",2020
1917,MontiLee Stormer,"1917 looks and feels like a 1st person shooter game, and every scene is just preparation to react to what happens in the next scene.",2020-09-16,MovieReelist.com,https://moviereelist.com/review/1917/,FALSE,"history,drama,war",history,"drama,war",2020
1917,Andrew Gaudion,A dazzling experience that feels both authentic and thrillingly cinematic.,2020-08-28,THN,https://www.thehollywoodnews.com/2020/01/04/1917-review-dir-sam-mendes-2020/,FALSE,"history,drama,war",history,"drama,war",2020
1917,Stephen A. Russell,"When the soldiers struggle through near-darkness in a collapsing tunnel, we suffocate with them. When a plane plunges from the sky towards them, it's an almighty effort not to leap from your seat.",2020-08-15,The New Daily (Australia),https://thenewdaily.com.au/entertainment/movies/2020/01/08/1917-cinematic-feat/,FALSE,"history,drama,war",history,"drama,war",2020
1917,Joanne Laurier,"A technological step forward, several ideological and artistic steps back...",2020-08-05,World Socialist Web Site,https://www.wsws.org/en/articles/2020/01/17/1917-j17.html,FALSE,"history,drama,war",history,"drama,war",2020
1917,Scott Phillips,"The narrative may be simple, but the visual approach taken by the film is astonishingly complex.",2020-07-29,The Screen Scene,https://www.wrbl.com/the-screen-scene/the-screen-scene-1917/,FALSE,"history,drama,war",history,"drama,war",2020
1917,James Hanton,"The single take is no gimmick, but a way of forcing you to sit through every minute of wartime, with all of its horror and false hope.",2020-07-28,Outtake Mag,http://outtakemag.co.uk/reviews/2020/01/10/1917-review-sam-mendes-george-mackay/,FALSE,"history,drama,war",history,"drama,war",2020
1917,Lucy Buglass,"Although the word is thrown around a lot, I would certainly consider 1917 to be a masterpiece in every sense of the word.",2020-07-25,Lucy Goes to Hollywood,https://lucygoestohollywood.com/2020/01/22/review-1917/,FALSE,"history,drama,war",history,"drama,war",2020
